sentences,mask_type,pred_pos,scale_type
It was not completely dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It was not totally dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It was not totally dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] dry but it was not wet either. It was kinda dry.,modifier,adj,abs
It wasn't [MASK] dry but it was not wet either.,modifier,adj,abs
It wasn't extremely dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] dry but it was not wet either. It was sorta dry.,modifier,adj,abs
It wasn't [MASK] dry but it was not wet either. It was slightly dry.,modifier,adj,abs
It wasn't [MASK] dry but it was not wet either. It was partially dry.,modifier,adj,abs
It wasn't [MASK] dry but it wasn't wet either. It was kinda dry.,modifier,adj,abs
It wasn't [MASK] dry but it wasn't wet either.,modifier,adj,abs
It wasn't extremely dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] dry but it wasn't wet either. It was sorta dry.,modifier,adj,abs
It wasn't [MASK] dry but it wasn't wet either. It was slightly dry.,modifier,adj,abs
It wasn't [MASK] dry but it wasn't wet either. It was partially dry.,modifier,adj,abs
It wasn't ridiculously dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't ridiculously dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't completely dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't completely dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't totally dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It wasn't totally dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it was not [MASK] dry either. It was kinda dry.,modifier,adj,abs
It was not wet but it was not [MASK] dry either.,modifier,adj,abs
It was not wet but it was not extremely dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it was not [MASK] dry either. It was sorta dry.,modifier,adj,abs
It was not wet but it was not [MASK] dry either. It was slightly dry.,modifier,adj,abs
It was not wet but it was not [MASK] dry either. It was partially dry.,modifier,adj,abs
It was not wet but it was not ridiculously dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it was not completely dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it was not totally dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it wasn't [MASK] dry either. It was kinda dry.,modifier,adj,abs
It was not wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was not wet but it wasn't extremely dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it wasn't [MASK] dry either. It was sorta dry.,modifier,adj,abs
It was not wet but it wasn't [MASK] dry either. It was slightly dry.,modifier,adj,abs
It was not wet but it wasn't [MASK] dry either. It was partially dry.,modifier,adj,abs
It was not wet but it wasn't ridiculously dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it wasn't completely dry either. It was [MASK] dry.,modifier,adj,abs
It was not wet but it wasn't totally dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it was not [MASK] dry either. It was kinda dry.,modifier,adj,abs
It wasn't wet but it was not [MASK] dry either.,modifier,adj,abs
It wasn't wet but it was not extremely dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it was not [MASK] dry either. It was sorta dry.,modifier,adj,abs
It wasn't wet but it was not [MASK] dry either. It was slightly dry.,modifier,adj,abs
It wasn't wet but it was not [MASK] dry either. It was partially dry.,modifier,adj,abs
It wasn't wet but it was not ridiculously dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it was not completely dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it was not totally dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it wasn't [MASK] dry either. It was kinda dry.,modifier,adj,abs
It wasn't wet but it wasn't [MASK] dry either.,modifier,adj,abs
It wasn't wet but it wasn't extremely dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it wasn't [MASK] dry either. It was sorta dry.,modifier,adj,abs
It wasn't wet but it wasn't [MASK] dry either. It was slightly dry.,modifier,adj,abs
It wasn't wet but it wasn't [MASK] dry either. It was partially dry.,modifier,adj,abs
It wasn't wet but it wasn't ridiculously dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it wasn't completely dry either. It was [MASK] dry.,modifier,adj,abs
It wasn't wet but it wasn't totally dry either. It was [MASK] dry.,modifier,adj,abs
